A12009201,홍제성원아파트,서울특별시 서대문구 모래내로 430
A12009202,홍제삼성래미안,서울특별시 서대문구 통일로 319
A12009203,홍제무악청구1차,서울특별시 서대문구 통일로 348
A12009302,인왕산벽산아파트,서울특별시 서대문구 세무서길 106-12
A12009303,홍제현대그린,서울특별시 서대문구 세무서2길 64
A12009304,홍제유원하나,서울특별시 서대문구 세검정로 134
A12009305,문화촌현대,서울특별시 서대문구 문화촌길 6-24
A12010101,홍은풍림1차,서울특별시 서대문구 통일로48가길 37
A12010202,홍은풍림아이원,서울특별시 서대문구 홍은중앙로 149
A12010203,홍은극동,서울특별시 서대문구 포방터10길 33
A12011002,연희대우,서울특별시 서대문구 연희로 38-20
A12012001,쌍용스윗닷홈,서울특별시 서대문구 거북골로 91-6
A12012101,래미안남가좌2차,서울특별시 서대문구 수색로6길 43
A12012202,DMC래미안클라시스,서울특별시 서대문구 증가로 191
A12013001,DMC휴먼빌,서울특별시 서대문구 거북골로18가길 23
A12013002,DMC아이파크,서울특별시 서대문구 거북골로14길 32
A12013003,DMC래미안e편한세상,서울특별시 서대문구 수색로 100
A12013101,디엠씨현대,서울특별시 서대문구 응암로 33
A12013201,DMC두산위브,서울특별시 서대문구 증가로 200-8
A12013202,북가좌삼호,서울특별시 서대문구 거북골로 154
A12017001,대현럭키,서울특별시 서대문구 이화여대길 50-12
A12070101,돈의문센트레빌,서울특별시 서대문구 독립문로14길 33
A12070201,충정리시온,서울특별시 서대문구 서소문로 27
A12071001,홍은두산,서울특별시 서대문구 모래내로 309
A12071003,홍은미성아파트,서울특별시 서대문구 연희로41길 102
A12071101,연희성원,서울특별시 서대문구 연희로32길 48
A12071102,연희임광아파트,서울특별시 서대문구 동교로 291
A12072801,DMC센트레빌,서울특별시 서대문구 거북골로 120
A12072802,남가좌현대제2,서울특별시 서대문구 가재울로 45
A12076401,홍제비콘드림힐,서울특별시 서대문구 세무서8길 49
A12076601,북가좌삼호제2,서울특별시 서대문구 거북골로 154
A12078201,인왕산현대,서울특별시 서대문구 통일로34길 46
A12078704,홍제원 현대,서울특별시 서대문구 통일로34길 43
A12078705,홍제인왕산현대,서울특별시 서대문구 통일로34길 46
A12078706,홍제청구3차,서울특별시 서대문구 통일로 332
A12079501,북아현두산,서울특별시 서대문구 이화여대8길 62
A12079601,독립문극동임대,서울특별시 서대문구 독립문공원길 17
A12081602,월드컵현대,서울특별시 서대문구 수색로 154
A12081703,디엠씨한양,서울특별시 서대문구 응암로 28
A12084504,홍은현대,서울특별시 서대문구 연희로 377
A12085303,홍제한양,서울특별시 서대문구 통일로25길 30
A12086001,홍제태영으뜸,서울특별시 서대문구 세검정로3길 63
A12101001,서서울삼성아파트,서울특별시 마포구 마포대로 262
A12102002,공덕한화꿈에그린,서울특별시 마포구 마포대로10길 22
A12102005,마포현대아파트,서울특별시 마포구 마포대로11길 84
A12102008,삼성래미안공덕2차,서울특별시 마포구 마포대로20길 26
A12103006,대우메트로디오빌,서울특별시 마포구 백범로 199
A12104005,마포삼성,서울특별시 마포구 도화길 28
A12104007,마포도화우성,서울특별시 마포구 삼개로 38
A12105001,마포쌍용황금,서울특별시 마포구 마포대로4라길 30
A12106001,토정한강삼성,서울특별시 마포구 토정로32길 11
A12109001,마포자이,서울특별시 마포구 독막로42길 2
A12111001,마포경남아너스빌,서울특별시 마포구 신수로 81
A12112001,밤섬현대,서울특별시 마포구 신수로3길 19
A12114001,서강GS,서울특별시 마포구 창전로 26
A12115001,한강밤섬자이아파트,서울특별시 마포구 토정로 158
A12119004,서강해모로,서울특별시 마포구 토정로 167
A12119006,서강쌍용예가,서울특별시 마포구 독막로 145
A12125001,성산2차e-편한세상,서울특별시 마포구 월드컵북로 216
A12125202,성산월드타운대림,서울특별시 마포구 월드컵북로30길 9-22
A12127001,상암월드컵파크5단지,서울특별시 마포구 상암산로1길 52
A12127002,상암월드컵파크6단지,서울특별시 마포구 상암산로1길 57
A12127003,상암월드컵파크3단지,
A12127004,상암월드컵파크2단지,서울특별시 마포구 월드컵북로47길 46
A10028201,인현신성,서울특별시 중구 마른내로 72
A10044001,SH황학롯데캐슬베네치아,서울특별시 중구 청계천로 400
A10044002,롯데캐슬베네치아,서울특별시 중구 청계천로 400
A10045001,신당푸르지오,서울특별시 중구 다산로36길 110
A10045002,청구e편한세상(분양),서울특별시 중구 청구로 64
A10045301,신당남산타운임대,서울특별시 중구 다산로 32
A10045402,약수하이츠아파트(임대),서울특별시 중구 동호로10길 30
A10045403,신당삼성(분양),서울특별시 중구 청구로1길 23
A10045404,신당약수하이츠,서울특별시 중구 동호로10길 30
A10072501,쌍용남산플래티넘,서울특별시 중구 소공로 46
A10078102,파라다이스,서울특별시 중구 다산로42나길 46
A10078103,청구e편한세상임대,서울특별시 중구 청구로 64
A10078901,래미안신당하이베르,서울특별시 중구 퇴계로90길 74
A10078902,래미안신당하이베르임대,서울특별시 중구 퇴계로90길 74
A10085902,중림삼성래미안아파트,서울특별시 중구 중림로4길 41
A10085903,중림삼성사이버빌리지,서울특별시 중구 중림로 10
A10086301,충무로진양,서울특별시 중구 퇴계로 217
A10086801,황학아크로타워,서울특별시 중구 퇴계로 447
A10088101,남산SK리더스뷰,서울특별시 중구 퇴계로 72
A10088102,남산롯데캐슬아이리스,서울특별시 중구 소공로 35
A11001203,평창삼성,서울특별시 종로구 평창문화로 172
A11005401,광화문풍림스페이스본 아파트,서울특별시 종로구 사직로8길 4
A11007001,경희궁의아침3단지,서울특별시 종로구 사직로8길 34
A11008001,무악현대임대,서울특별시 종로구 통일로 246-11
A11014001,로얄팰리스스위트,서울특별시 종로구 율곡로2길 7
A11034001,현대뜨레비앙,서울특별시 종로구 돈화문로11가길 59
A11041001,효성주얼리시티아파트,서울특별시 종로구 종로 183
A11052201,명륜아남1차,서울특별시 종로구 창경궁로 265
A11054101,창신두산,서울특별시 종로구 지봉로5길 7
A11054301,창신쌍용1단지,서울특별시 종로구 동망산길 19
A11055002,종로청계힐스테이트,서울특별시 종로구 숭인동길 21
A11081503,무악현대,서울특별시 종로구 통일로 246-20
A11084601,평창롯데,서울특별시 종로구 평창문화로 140
A11087601,롯데캐슬천지인,서울특별시 종로구 종로 347
A11087602,종로센트레빌,서울특별시 종로구 동망산길 47
A12003001,충정로 skview 아파트,서울특별시 서대문구 서소문로 43-8
A12005001,냉천동부센트레빌,서울특별시 서대문구 독립문로14길 74
A12007001,독립문삼호,서울특별시 서대문구 독립문로 10
A12008001,독립문파크빌,서울특별시 서대문구 통일로 279-75
A12008003,독립문극동,서울특별시 서대문구 독립문공원길 17
A12009101,홍제남양,서울특별시 서대문구 홍제내길 168
A12009102,홍제현대아파트,서울특별시 서대문구 통일로39가길 57
A12281702,갈현현대1차,서울특별시 은평구 갈현로33길 24
A12281801,갈현한솔아파트,서울특별시 은평구 갈현로23길 41
A12282102,브라운스톤구산,서울특별시 은평구 갈현로17길 17
A12282201,구산경향파크,서울특별시 은평구 갈현로15길 53
A12282203,구산경남아너스빌,서울특별시 은평구 갈현로11길 46
A12283602,녹번JR아파트,서울특별시 은평구 통일로 586-19
A12283603,녹번대림,서울특별시 은평구 통일로 590
A12284501,대조삼성타운,서울특별시 은평구 서오릉로 94
A12284701,불광대호2차,서울특별시 은평구 불광로 90
A12285703,불광미성,서울특별시 은평구 통일로 780
A12287203,수색대림한숲타운제2,서울특별시 은평구 은평터널로 66
A12287204,수색대림한숲타운,서울특별시 은평구 은평터널로 65
A12289401,뉴신사신성,서울특별시 은평구 은평터널로 163
A12289402,신성수정,서울특별시 은평구 은평터널로7길 2
A12289501,역촌센트레빌,서울특별시 은평구 갈현로3나길 23
A12290901,백련산힐스테이트3차,서울특별시 은평구 백련산로 36
A12293002,응암우성,서울특별시 은평구 가좌로7나길 30
A13002002,래미안아름숲,서울특별시 동대문구 전농로16길 51
A13003002,답십리동서울한양,서울특별시 동대문구 답십리로 184
A13003003,답십리두산위브,서울특별시 동대문구 황물로15길 25
A13003005,청계한신휴플러스,서울특별시 동대문구 서울시립대로 14
A13003202,답십리청솔우성,서울특별시 동대문구 전농로10길 20
A13003402,세양청마루,서울특별시 동대문구 답십리로59길 7
A13003404,답십리우성그린,서울특별시 동대문구 답십리로59길 33
A13003405,답십리동답한신,서울특별시 동대문구 답십리로 210-30
A13006001,제기경동미주,서울특별시 동대문구 정릉천동로 80
A13006002,제기현대,서울특별시 동대문구 정릉천동로 90
A13006101,제기한신,서울특별시 동대문구 고산자로 534
A13007001,용두두산위브,서울특별시 동대문구 정릉천동로 16
A13007002,용두롯데캐슬피렌체,서울특별시 동대문구 정릉천동로 58
A13007004,용두신동아,서울특별시 동대문구 무학로26길 30
A13008001,신이문금호어울림,서울특별시 동대문구 신이문로 9
A13009002,휘경주공1단지,서울특별시 동대문구 한천로 248
A13009003,브라운스톤휘경,서울특별시 동대문구 망우로20길 86
A13009101,휘경롯데낙천대,서울특별시 동대문구 외대역동로1길 24
A13009202,휘경동일하이빌,서울특별시 동대문구 장안벚꽃로5길 10
A13009206,휘경동일스위트리버,서울특별시 동대문구 한천로 300
A13010001,장안2차현대홈타운,서울특별시 동대문구 장한로26다길 84
A13010002,장안삼성쉐르빌,서울특별시 동대문구 장한로 119
A13010003,장안현대,서울특별시 동대문구 한천로 224
A13010006,장안현대홈타운,서울특별시 동대문구 장안벚꽃로 107
A13070101,회기힐스테이트,서울특별시 동대문구 회기로26길 15
A13070301,래미안허브리츠,서울특별시 동대문구 정릉천동로 36
A13070302,래미안용두1차,서울특별시 동대문구 고산자로29길 18
A13071201,청량리홍릉동부임대,서울특별시 동대문구 제기로26길 26
A13075402,래미안엘파인,서울특별시 동대문구 한천로37길 33
A13075403,답십리청솔우성제2,서울특별시 동대문구 답십리로57길 53
A13075404,답십리동아제2,서울특별시 동대문구 한천로11길 10
A13075405,답십리두산제2,서울특별시 동대문구 답십리로56길 21-1
A13076801,이문삼성래미안아파트,서울특별시 동대문구 천장산로11길 22
A13077201,제기한신제2임대아파트,서울특별시 동대문구 회기로8길 20
A13077702,휘경 미소지움아파트,서울특별시 동대문구 망우로 105
A13077703,휘경롯데1차,서울특별시 동대문구 망우로 95
A13078301,휘경센트레빌,서울특별시 동대문구 외대역동로 14
A13078701,장안위더스빌,서울특별시 동대문구 한천로 42
A13079401,대림아파트201동,서울특별시 동대문구 이문로54길 16
A13079403,이문쌍용임대,서울특별시 동대문구 한천로58길 75-45
A13080201,답십리대우,서울특별시 동대문구 답십리로41길 33
A13080702,신답경남아파트,서울특별시 동대문구 천호대로47길 62
A13082501,이문삼익아파트,서울특별시 동대문구 한천로55길 9
A13082502,이문중앙하이츠빌,서울특별시 동대문구 외대역동로 101
A13082702,이문대우1차,서울특별시 동대문구 한천로58길 139
A13082703,이문현대,서울특별시 동대문구 한천로58길 107
A13082704,이문쌍용,서울특별시 동대문구 한천로58길 47
A13082805,이문e-편한세상,서울특별시 동대문구 한천로63길 10
A13083102,래미안이문2차,서울특별시 동대문구 이문로12길 3-10
A13084803,전농우성,
A13084804,전농SK,서울특별시 동대문구 사가정로 148
A13085301,전농삼성,서울특별시 동대문구 전농로 192
A13085901,전농동아,서울특별시 동대문구 서울시립대로 31
A13085902,전농동신성미소지움아파트,서울특별시 동대문구 서울시립대로 75
